area,area_code,item_code,element_code,item,unit,element,year_2020,year_2021,year_2022,year_2023
Brazil,21,515,5510,Apples,t,Production,1222949,983247,1297424,1047217
Brazil,21,515,5510,Apples,t,Production,1222949,983247,1297424,1047217
Brazil,21,515,5510,Apples,t,Production,1222949,983247,1297424,1047217
Brazil,21,75,5510,Oats,t,Production,930281,898277,1092473,1296345
Brazil,21,75,5510,Oats,t,Production,930281,898277,1092473,1296345
Brazil,21,75,5510,Oats,t,Production,930281,898277,1092473,1296345
Brazil,21,15,5510,Wheat,t,Production,5590815,6347987,7878413,10343182
Brazil,21,15,5510,Wheat,t,Production,5590815,6347987,7878413,10343182
Brazil,21,15,5510,Wheat,t,Production,5590815,6347987,7878413,10343182
Canada,33,515,5510,Apples,t,Production,380669,390999,351565,380571
Canada,33,515,5510,Apples,t,Production,380669,390999,351565,380571
Canada,33,515,5510,Apples,t,Production,380669,390999,351565,380571
Canada,33,75,5510,Oats,t,Production,4227300,4575800,2898619,5226465
Canada,33,75,5510,Oats,t,Production,4227300,4575800,2898619,5226465
Canada,33,75,5510,Oats,t,Production,4227300,4575800,2898619,5226465
Canada,33,373,5510,Spinach,t,Production,4607,4154,6406,6720.8
Canada,33,373,5510,Spinach,t,Production,4607,4154,6406,6720.8
Canada,33,373,5510,Spinach,t,Production,4607,4154,6406,6720.8
Canada,33,15,5510,Wheat,t,Production,32669800,35437200,22422100,34334787
Canada,33,15,5510,Wheat,t,Production,32669800,35437200,22422100,34334787
Canada,33,15,5510,Wheat,t,Production,32669800,35437200,22422100,34334787
Ecuador,58,515,5510,Apples,t,Production,7347.61,7163.86,7191.7,7209.93
Ecuador,58,515,5510,Apples,t,Production,7347.61,7163.86,7191.7,7209.93
Ecuador,58,515,5510,Apples,t,Production,7347.61,7163.86,7191.7,7209.93
Ecuador,58,75,5510,Oats,t,Production,880.41,879.25,878.62,873.76
Ecuador,58,75,5510,Oats,t,Production,880.41,879.25,878.62,873.76
Ecuador,58,75,5510,Oats,t,Production,880.41,879.25,878.62,873.76
Ecuador,58,15,5510,Wheat,t,Production,5073.39,14647,10898.38,7431
Ecuador,58,15,5510,Wheat,t,Production,5073.39,14647,10898.38,7431
Ecuador,58,15,5510,Wheat,t,Production,5073.39,14647,10898.38,7431
United States of America,231,515,5510,Apples,t,Production,5028526.46,4665199,4505310,4429330
United States of America,231,515,5510,Apples,t,Production,5028526.46,4665199,4505310,4429330
United States of America,231,515,5510,Apples,t,Production,5028526.46,4665199,4505310,4429330
United States of America,231,75,5510,Oats,t,Production,773040,953550,578220,836860
United States of America,231,75,5510,Oats,t,Production,773040,953550,578220,836860
United States of America,231,75,5510,Oats,t,Production,773040,953550,578220,836860
United States of America,231,373,5510,Spinach,t,Production,480894.57,325180,314680,382356
United States of America,231,373,5510,Spinach,t,Production,480894.57,325180,314680,382356
United States of America,231,373,5510,Spinach,t,Production,480894.57,325180,314680,382356
United States of America,231,15,5510,Wheat,t,Production,52580890,49751180,44803690,44902320
United States of America,231,15,5510,Wheat,t,Production,52580890,49751180,44803690,44902320
United States of America,231,15,5510,Wheat,t,Production,52580890,49751180,44803690,44902320
Uruguay,234,515,5510,Apples,t,Production,42322,37039,46987,49840
Uruguay,234,515,5510,Apples,t,Production,42322,37039,46987,49840
Uruguay,234,515,5510,Apples,t,Production,42322,37039,46987,49840
Uruguay,234,75,5510,Oats,t,Production,34816,45483,30749,29959.26
Uruguay,234,75,5510,Oats,t,Production,34816,45483,30749,29959.26
Uruguay,234,75,5510,Oats,t,Production,34816,45483,30749,29959.26
Uruguay,234,15,5510,Wheat,t,Production,727600,776300,936400,1283100
Uruguay,234,15,5510,Wheat,t,Production,727600,776300,936400,1283100
Uruguay,234,15,5510,Wheat,t,Production,727600,776300,936400,1283100
